Level and Distortion,,,
Left-Left(Total),,Right-Left(Total),
X,Y,X,Y
Hz,dBSPL,Hz,dBSPL
2097.22222222222,15.2605075394619,2097.22222222222,23.5934438694825
2111.11111111111,16.0187482646489,2111.11111111111,21.7906240723326
2125,18.1492431270001,2125,19.3607106715486
2138.88888888889,19.8731479345567,2138.88888888889,20.882828120122
2152.77777777778,19.5297423641443,2152.77777777778,23.2127656165856
2166.66666666667,16.55488176224,2166.66666666667,22.0240232781964
2180.55555555556,15.5191696524181,2180.55555555556,22.3123436022842
2194.44444444444,16.0100905688363,2194.44444444444,22.9222636192125
2208.33333333333,16.7240169392251,2208.33333333333,23.3122512346575
2222.22222222222,18.7690417543035,2222.22222222222,23.5441466103081
2236.11111111111,19.0509880552934,2236.11111111111,22.4990678436117
2250,17.3989475446092,2250,22.492867781422
2263.88888888889,14.9037815412204,2263.88888888889,21.6151233701293
2277.77777777778,15.4498186961284,2277.77777777778,22.0727764224175
2291.66666666667,17.9945991444909,2291.66666666667,20.8477749535074
2305.55555555556,17.7268239913147,2305.55555555556,20.1903178756561
2319.44444444444,17.2403119904223,2319.44444444444,22.7413936044709
2333.33333333333,18.7573775190846,2333.33333333333,22.8341499356442
2347.22222222222,17.6665058968501,2347.22222222222,22.1323197980412
2361.11111111111,15.7076599012064,2361.11111111111,20.4175271780044
2375,16.1051333152556,2375,21.3104631961118
2388.88888888889,17.2372273445267,2388.88888888889,21.4184456319035
2402.77777777778,19.3674433739527,2402.77777777778,20.9372702535152
2416.66666666667,19.3843053205688,2416.66666666667,21.1416275368094
2430.55555555556,17.5827187762557,2430.55555555556,21.8862614348274
2444.44444444444,16.3253791248832,2444.44444444444,23.2782676662665
2458.33333333333,15.3237292146728,2458.33333333333,22.4390333967976
2472.22222222222,16.9996267891219,2472.22222222222,22.6285200772016
2486.11111111111,18.595902446447,2486.11111111111,23.9482052890193
2500,18.3492915893118,2500,23.7079254628194
2513.88888888889,18.4447327855345,2513.88888888889,22.3411085792298
2527.77777777778,19.01660491306,2527.77777777778,22.6502380341926
2541.66666666667,17.8362387783298,2541.66666666667,21.6201616944983
2555.55555555556,16.1429879715334,2555.55555555556,22.2085765355816
2569.44444444444,17.2769805560056,2569.44444444444,25.4689933005408
2583.33333333333,18.2282971495792,2583.33333333333,24.9231021685657
2597.22222222222,17.9225727082024,2597.22222222222,22.5728598560731
2611.11111111111,16.4047877109383,2611.11111111111,23.731812021233
2625,14.8057799179987,2625,25.5555891601345
2638.88888888889,16.1285845063001,2638.88888888889,25.7328350524966
2652.77777777778,17.2251343126584,2652.77777777778,24.7874466608418
2666.66666666667,16.810112718731,2666.66666666667,24.5284348910681
2680.55555555556,15.9401260727994,2680.55555555556,24.6919344076713
2694.44444444444,17.9351691015921,2694.44444444444,24.3815259036456
2708.33333333333,18.2615388155509,2708.33333333333,24.2134695327909
2722.22222222222,16.7729816718161,2722.22222222222,24.0138370651353
2736.11111111111,16.9971028284827,2736.11111111111,24.0680213730029
2750,16.3749412730716,2750,23.7457841020252
2763.88888888889,17.1210862160766,2763.88888888889,20.8604986021546
2777.77777777778,16.913945123561,2777.77777777778,19.2803919982491
2791.66666666667,14.918002421357,2791.66666666667,20.9944740191507
2805.55555555556,15.9628818567418,2805.55555555556,22.2517362026679
2819.44444444444,16.1720657049108,2819.44444444444,21.1244674461005
2833.33333333333,18.326866063959,2833.33333333333,20.7800334658868
2847.22222222222,18.9588002021151,2847.22222222222,22.2327402637215
2861.11111111111,18.0419184741005,2861.11111111111,21.1879899123633
2875,19.3954430632347,2875,21.0755553606611
2888.88888888889,18.9537583077674,2888.88888888889,22.553442167472
2902.77777777778,17.2633172070623,2902.77777777778,22.5760659242537
2916.66666666667,17.5765202323037,2916.66666666667,21.1675289622964
2930.55555555556,17.9294098586178,2930.55555555556,21.1632706940237
2944.44444444444,17.1501592230639,2944.44444444444,21.5935045523205
2958.33333333333,16.1409143484551,2958.33333333333,21.7482728953112
2972.22222222222,15.7056064278955,2972.22222222222,21.486562683181
2986.11111111111,14.3808297883199,2986.11111111111,20.5397914962104
3000,16.555079619198,3000,21.3056579800518
3013.88888888889,18.8415542150071,3013.88888888889,21.3077680588794
3027.77777777778,18.3737024559816,3027.77777777778,22.3497631134297
3041.66666666667,16.3187382109722,3041.66666666667,23.515759600522
3055.55555555556,15.0454331693547,3055.55555555556,23.1048758896735
3069.44444444444,16.0266241461595,3069.44444444444,24.4413610205718
3083.33333333333,17.6083202586049,3083.33333333333,25.2060251178608
3097.22222222222,16.5926351881443,3097.22222222222,23.6986994247334
