L-R-Diff Raw,
L-R-Diff Left,
X,Y
Hz,dB
4291.666667,0
4295.138889,0
4298.611111,0
4302.083333,0
4305.555556,0
4309.027778,0
4312.5,0
4315.972222,0
4319.444444,0
4322.916667,0
4326.388889,0
4329.861111,0
4333.333333,0
4336.805556,0
4340.277778,0
4343.75,0
4347.222222,0
4350.694444,0
4354.166667,0
4357.638889,0
4361.111111,0
4364.583333,0
4368.055556,0
4371.527778,0
4375,0
4378.472222,0
4381.944444,0
4385.416667,0
4388.888889,0
4392.361111,0
4395.833333,0
4399.305556,0
4402.777778,0
4406.25,0
4409.722222,0
4413.194444,0
4416.666667,0
4420.138889,0
4423.611111,0
4427.083333,0
4430.555556,0
4434.027778,0
4437.5,0
4440.972222,0
4444.444444,0
4447.916667,0
4451.388889,0
4454.861111,0
4458.333333,0
4461.805556,0
4465.277778,0
4468.75,0
4472.222222,0
4475.694444,0
4479.166667,0
4482.638889,0
4486.111111,0
4489.583333,0
4493.055556,0
4496.527778,0
4500,0
4503.472222,0
4506.944444,0
4510.416667,0
4513.888889,0
4517.361111,0
4520.833333,0
4524.305556,0
4527.777778,0
4531.25,0
4534.722222,0
4538.194444,0
4541.666667,0
4545.138889,0
4548.611111,0
4552.083333,0
4555.555556,0
4559.027778,0
4562.5,0
4565.972222,0
4569.444444,0
4572.916667,0
4576.388889,0
4579.861111,0
4583.333333,0
4586.805556,0
4590.277778,0
4593.75,0
4597.222222,0
4600.694444,0
4604.166667,0
4607.638889,0
4611.111111,0
4614.583333,0
4618.055556,0
4621.527778,0
4625,0
4628.472222,0
4631.944444,0
4635.416667,0
4638.888889,0
4642.361111,0
4645.833333,0
4649.305556,0
4652.777778,0
4656.25,0
4659.722222,0
4663.194444,0
4666.666667,0
4670.138889,0
4673.611111,0
4677.083333,0
4680.555556,0
4684.027778,0
4687.5,0
4690.972222,0
4694.444444,0
4697.916667,0
4701.388889,0
4704.861111,0
4708.333333,0
4711.805556,0
4715.277778,0
4718.75,0
4722.222222,0
4725.694444,0
4729.166667,0
4732.638889,0
4736.111111,0
4739.583333,0
4743.055556,0
4746.527778,0
4750,0
4753.472222,0
4756.944444,0
4760.416667,0
4763.888889,0
4767.361111,0
4770.833333,0
4774.305556,0
4777.777778,0
4781.25,0
4784.722222,0
4788.194444,0
4791.666667,0
4795.138889,0
4798.611111,0
4802.083333,0
4805.555556,0
